Model,Accuracy,F1,F1 Std Dev,Precision,Recall,Tree Leaves,Tree Depth,Fit Time (s),Fit Time Std Dev
Greedy (Continuous),0.9985,0.9985,0.0031,0.9987,0.9984,12,9,0.0106,0.0026
Greedy (Uniform),0.9577,0.9573,0.0119,0.959,0.9567,16,12,0.0095,0.0024
Optimal (STreeD Uniform),0.8002,0.7992,0.0334,0.801,0.8017,10,4,0.1684,0.0086
Greedy (Quantile),0.9494,0.9487,0.0119,0.9508,0.9479,16,12,0.0191,0.0017
Optimal (STreeD Quantile),0.7647,0.7627,0.0413,0.7693,0.7664,14,4,0.197,0.006
Greedy (KMeans),0.9811,0.9809,0.0197,0.9814,0.9805,12,9,0.2308,0.1206
Optimal (STreeD KMeans),0.8002,0.7992,0.0334,0.801,0.8017,10,4,0.3045,0.0871
