Model,Accuracy,F1,F1 Std Dev,Precision,Recall,Tree Leaves,Tree Depth,Fit Time (s),Fit Time Std Dev
Greedy (Continuous),0.7808,0.7509,0.0164,0.7487,0.7546,657,24,0.033,0.0014
Greedy (Uniform),0.7707,0.7451,0.0144,0.7675,0.7342,638,19,0.0111,0.0007
Optimal (STreeD Uniform),0.8156,0.7684,0.0167,0.8109,0.751,16,4,0.362,0.0656
Greedy (Quantile),0.7737,0.7378,0.016,0.7407,0.7369,1114,21,0.0177,0.0005
Optimal (STreeD Quantile),0.8275,0.7947,0.0176,0.8109,0.7861,16,4,0.3857,0.0081
Greedy (KMeans),0.7941,0.7583,0.011,0.7655,0.754,949,20,0.0694,0.0059
Optimal (STreeD KMeans),0.8357,0.7997,0.0138,0.8268,0.7856,16,4,0.4336,0.0102
