Model,Accuracy,F1,F1 Std Dev,Precision,Recall,Tree Leaves,Tree Depth,Fit Time (s),Fit Time Std Dev
Greedy (Continuous),0.4764,0.4718,0.0954,0.4818,0.4813,129,19,0.007,0.0009
Greedy (Uniform),0.483,0.4518,0.0545,0.4713,0.474,99,17,0.004,0.0002
Optimal (STreeD Uniform),0.5067,0.4855,0.0589,0.4967,0.4977,15,4,0.0115,0.0008
Greedy (Quantile),0.4831,0.4671,0.067,0.4768,0.4771,145,16,0.0036,0.0003
Optimal (STreeD Quantile),0.5002,0.4813,0.0575,0.4996,0.4985,16,4,0.0117,0.001
Greedy (KMeans),0.4729,0.4433,0.0709,0.4589,0.4624,106,16,0.0062,0.001
Optimal (STreeD KMeans),0.5031,0.478,0.0593,0.4954,0.4931,15,4,0.0109,0.0005
