Model,Accuracy,F1,F1 Std Dev,Precision,Recall,Tree Leaves,Tree Depth,Fit Time (s),Fit Time Std Dev
Greedy (Continuous),0.935,0.9282,0.0389,0.9294,0.9279,22,7,0.0141,0.0016
Greedy (Uniform),0.9349,0.9286,0.023,0.9309,0.9271,56,13,0.004,0.0001
Optimal (STreeD Uniform),0.9261,0.9182,0.0243,0.9263,0.9139,15,4,0.1225,0.0082
Greedy (Quantile),0.9279,0.9217,0.0239,0.9219,0.9254,31,10,0.0091,0.0009
Optimal (STreeD Quantile),0.9438,0.938,0.0232,0.9395,0.9392,15,4,0.6133,0.3194
Greedy (KMeans),0.9403,0.9355,0.0305,0.9337,0.9397,40,10,0.0561,0.0021
Optimal (STreeD KMeans),0.9297,0.9246,0.0215,0.9222,0.9286,16,4,0.3247,0.0312
