Model,Accuracy,F1,F1 Std Dev,Precision,Recall,Tree Leaves,Tree Depth,Fit Time (s),Fit Time Std Dev
Greedy (Continuous),0.4764,0.4718,0.0954,0.4818,0.4813,129,19,0.007,0.000882
Greedy (Uniform),0.5039,0.4711,0.0949,0.5114,0.4962,39,9,0.0036,6.31e-05
Optimal (STreeD Uniform),0.5037,0.4591,0.0825,0.4981,0.4925,15,4,0.0099,0.000449
Greedy (Quantile),0.4391,0.3934,0.0639,0.4024,0.4173,86,10,0.0057,0.00243
Optimal (STreeD Quantile),0.4897,0.4214,0.089,0.4282,0.4302,16,4,0.0177,0.00669
Greedy (KMeans),0.4685,0.4525,0.0817,0.4768,0.4753,46,9,0.0103,0.0032
Optimal (STreeD KMeans),0.4728,0.4352,0.0734,0.4579,0.458,16,4,0.0163,0.000938
