Model,Accuracy,F1,F1 Std Dev,Precision,Recall,Tree Leaves,Tree Depth,Fit Time (s),Fit Time Std Dev
Greedy (Continuous),0.935,0.9282,0.0389,0.9294,0.9279,22,7,0.0141,0.0016
Greedy (Uniform),0.9139,0.9058,0.0263,0.9052,0.9078,48,13,0.0044,0.0001
Optimal (STreeD Uniform),0.9403,0.9354,0.0205,0.9362,0.9369,16,4,1.0855,0.2033
Greedy (Quantile),0.9403,0.9354,0.0205,0.9362,0.9369,32,10,0.0095,0.0004
Optimal (STreeD Quantile),0.9332,0.9294,0.0481,0.9305,0.9305,16,4,4.6314,0.5894
Greedy (KMeans),0.935,0.9296,0.0231,0.9295,0.9321,32,11,0.0638,0.0039
Optimal (STreeD KMeans),0.9315,0.9256,0.0236,0.9266,0.9305,15,4,1.8203,0.3214
