Model,Accuracy,F1,F1 Std Dev,Precision,Recall,Tree Leaves,Tree Depth,Fit Time (s),Fit Time Std Dev
Greedy (Continuous),0.7808,0.7509,0.0164,0.7487,0.7546,657,24,0.033,0.0014
Greedy (Uniform),0.7708,0.7405,0.0236,0.7385,0.7447,961,27,0.0198,0.002
Optimal (STreeD Uniform),0.8361,0.7986,0.0195,0.8306,0.7832,15,4,1.5453,0.2344
Greedy (Quantile),0.7645,0.7322,0.0199,0.7303,0.7357,762,19,0.0271,0.0009
Optimal (STreeD Quantile),0.8393,0.8062,0.0227,0.8276,0.7939,16,4,3.7587,0.3436
Greedy (KMeans),0.7688,0.7358,0.0144,0.7355,0.7384,909,24,0.0812,0.039
Optimal (STreeD KMeans),0.837,0.8001,0.0202,0.8309,0.7845,16,4,2.075,0.2689
