Model,Accuracy,F1,F1 Std Dev,Precision,Recall,Tree Leaves,Tree Depth,Fit Time (s),Fit Time Std Dev
Greedy (Continuous),0.935,0.9282,0.0389,0.9294,0.9279,22,7,0.0141,0.0016
Greedy (Uniform),0.9332,0.9277,0.0254,0.9294,0.9316,33,8,0.0076,0.0002
Optimal (STreeD Uniform),0.9209,0.9147,0.0237,0.9207,0.9234,15,4,2.356,0.4272
Greedy (Quantile),0.9243,0.9165,0.0338,0.9164,0.9194,27,9,0.0122,0.0017
Optimal (STreeD Quantile),0.949,0.9453,0.033,0.9443,0.9484,16,4,9.9598,1.0952
Greedy (KMeans),0.9385,0.9332,0.022,0.9386,0.9298,27,8,0.0652,0.0037
Optimal (STreeD KMeans),0.9297,0.9248,0.0343,0.9224,0.9312,16,4,4.9748,0.5992
