Model,Accuracy,F1,F1 Std Dev,Precision,Recall,Tree Leaves,Tree Depth,Fit Time (s),Fit Time Std Dev
Greedy (Continuous),0.4764,0.4718,0.0954,0.4818,0.4813,129,19,0.007,0.0009
Greedy (Uniform),0.5272,0.4221,0.0671,0.4717,0.4956,15,6,0.0092,0.0032
Optimal (STreeD Uniform),0.5306,0.4272,0.0743,0.4752,0.4989,7,4,0.0131,0.0065
Greedy (Quantile),0.4685,0.4372,0.1254,0.4449,0.4578,27,6,0.01,0.0044
Optimal (STreeD Quantile),0.4553,0.4423,0.1026,0.4494,0.4548,15,4,0.0087,0.0023
Greedy (KMeans),0.5103,0.4208,0.0931,0.4613,0.488,18,6,0.011,0.0032
Optimal (STreeD KMeans),0.5137,0.4262,0.0986,0.4669,0.4938,8,4,0.0314,0.0143
